circRNA Name,Disease Name,Species,miRNA validated,miRNA predicted,miRNA target,RBP validated
hsa_circ_0000799,Bladder cancer,Human,miR-31-5p,,RAB27A,
hsa_circ_0023404,Cervical cancer,Human,miR-136,,TFCP2,
circ-HIPK2,Acute promyelocytic leukemia,Human,miR-124-3p,,,
hsa_circ_0080210,Intervertebral disc degeneration,Human,miR-328-5p,,ERBB2,
hsa_circ_0141940,Prostate cancer,Human,miR-29a,,,
hsa_circ_0001821,Gastric cancer,Human,miR-125,,E2F2,
hsa_circ_0001821,Osteosarcoma,Human,,,ABCB1,
hsa_circ_0001821,Lung cancer,Human,let-7,,"IGF2BP1, KRAS, HMGA2",
hsa_circ_0001821,Breast cancer,Human,let-7,,"IGF2BP1, KRAS, HMGA2",
hsa_circ_0001946,Esophageal squamous cell carcinoma,Human,miR-876-5p,,MAGE-A,
hsa_circ_0001946,Laryngeal squamous cell carcinoma,Human,miR-7,,"CCNE1, PIK3CD",
hsa_circ_0001946,Esophageal squamous cell carcinoma,Human,miR-7,,HOXB13,
hsa_circ_0001946,Non-small cell lung cancer,Human,miR-7,,"EGFR, CCNE1, PIK3CD",
hsa_circ_0001946,Colorectal cancer,Human,miR-7,,"EGFR, IGF-1R",
hsa_circ_0001946,Hepatocellular carcinoma,Human,miR-7,,EGFR,
hsa_circ_0001946,Colorectal cancer,Human,miR-7,,"EGFR, RAF1",
hsa_circ_0001946,Hepatocellular carcinoma,Human,miR-7,,"PIK3CD, p70S6K",
hsa_circ_0001946,Alzheimer's disease,Human,miRNA-7,,UBE2A,
hsa_circ_0001946,Hepatocellular carcinoma,Human,miR-7,,"CCNE1, PIK3CD",
hsa_circ_0001946,Glioblastoma,Human,miR-671-5p,,"CDR1, VSNL1",
hsa_circ_0001946,Alzheimer's disease,Human,miRNA-7,,,
hsa_circ_0001946,Alzheimer's disease,Human,,,,"UCHL1, BACE1, APP"
hsa_circ_0001946,Alzheimer's disease,Human,miR-7,,KLF4,
hsa_circ_0001946,Gastric cancer,Human,miR-7,,"PTEN, PI3K, AKT",
hsa_circ_0001946,Triple negative breast cancer,Human,miR-1299,,MMPs,
hsa_circ_0006990,Colorectal cancer,Human,miR-101,,,
hsa_circ_0001627,Papillary thyroid carcinoma,Human,miR-139-5p,,LMO4,
hsa_circ_0000567,Hepatocellular carcinoma,Human,miR-421,,,
hsa_circ_0002360,Lung adenocarcinoma,Human,hsa-mir-3620-5p,,PHF19,
circTADA2A,Breast cancer,Human,miR-203a-3p,,SOCS3,
hsa_circ_0006220,Breast cancer,Human,miR-203a-3p,,SOCS3,
hsa_circ_0001681,Papillary thyroid carcinoma,Human,miR-198,,FGFR1,
cTFRC,Bladder carcinoma,Human,miR-107,,TFRC,
circPSMC3,Gastric cancer,Human,miR-296-5p,,PTEN,
hsa_circ_0005962,Lung adenocarcinoma,Human,,"hsa-miR-369-5p, hsa-miR-626, hsa-miR-326, hsa-miR-330-5p, hsa-miR-1265, hsa-miR-622",YWHAZ,
hsa_circ_0072309,Breast cancer,Human,miR-492,,,
hsa-circ-0014359,Glioma,Human,miR-153,,,
hsa_circ_0007255,Triple negative breast cancer,Human,miR-375,,KIF4A,
hsa_circ_0000190,Multiple myeloma,Human,miR-767-5p,,MAPK4,
circOMA1,Nonfunctioning pituitary adenomas,Human,miR-145-5p,,TPT1,
hsa_circ_103809,Hepatocellular carcinoma,Human,miR-620,,,
hsa_circ_0000267,Hepatocellular carcinoma,Human,miR-646,,,
hsa_circ_0004771,Gastric cancer,Human,miR-149-5p,,AKT1,
hsa_circ_0025033,Papillary thyroid carcinoma,Human,"miR-1231, miR-1304",,,
hsa_circ_0119873,Uveal melanoma,Human,,hsa-miR-92a-3p hsa-miR-193a-5p hsa-miR-204-3p,,
hsa_circ_0128533,Uveal melanoma,Human,,hsa-miR-145-3p hsa-miR-23a-5p hsa-miR-23b-5p,,
hsa_circ_0047924,Uveal melanoma,Human,,hsa-miR-204-3p hsa-miR-22-5p hsa-miR-338-3p,,
hsa_circ_0103232,Uveal melanoma,Human,,hsa-miR-214-3p hsa-miR-143-5p hsa-miR-34a-3p,,
hsa-circRNA10628-6,Uveal melanoma,Human,,hsa-miR-197-5p hsa-miR-214-3p sa-miR-34a-3p,,
hsa_circ_0032148,Uveal melanoma,Human,,hsa-miR-181d-3p hsa-miR-197-3p hsa-miR-197-5p,,
hsa_circ_0133460,Uveal melanoma,Human,,hsa-let-7a-2-3p hsa-let-7c-3p hsa-miR-193a-5p,,
hsa_circ_0067997,Gastric cancer,Human,miR-515-5p,,XIAP,
hsa_circ_0078602,Hepatocellular carcinoma,Human,,"hsa-miR-1207-5p, hsa-miR-6787-5p, hsa-miR-940, hsa-miR-1202, hsa-miR-4459, hsa-miR-3194-5p",,
hsa_circ_0059655,Salivary adenoid cystic carcinoma,Human,miR-338-3p,,,
hsa_circ_0001859,Breast cancer,Human,miR-200c-3p,,"ZEB1, ZEB2, ETS1",
hsa_circ_0001859,Breast cancer,Human,miR-200c-3p,,"ZEB1, ZEB2, ETS1",
hsa_circ_0011385,Non-small cell lung cancer,Human,"miR-361-3p, miR-615-5p",,"NFAT5, COL1A1, MEF2C, TRAF3, SF3B3",
hsa_circ_0001946,Glioblastoma,Human,miR-671-5p,,CDR1,
hsa_circ_0067934,Esophageal squamous cell carcinoma,Human,miR-3680-3p,,AKT3,
hsa_circ_0089105,Breast cancer,Human,miR-4443,,ASS1,
hsa_circ_0085154,Hepatocellular carcinoma,Human,,,,ULBP1
hsa_circRNA_101996,Cervical cancer,Human,miR-8075,,TPX2,
circPTGR1,Hepatocellular carcinoma,Human,miR449a,,,
hsa_circ_0001313,Colon cancer,Human,miR-338-3p,,,
hsa_circ_0058514,Triple negative breast cancer,Human,miR-195-5p,,CCNE1,
hsa_circ_0009910,Acute myeloid leukemia,Human,miR-20a-5p,,,
circ_0030235,Pancreatic ductal adenocarcinoma,Human,"miR-1253, miR-1294",,,
hsa_circ_0002211,Colorectal cancer,Human,,hsa-miR-21-5p,,
hsa_circ_0000263,Cervical cancer,Human,miR-150-5p,,MDM4,
hsa_circ_0067301,Ovarian endometriosis,Human,,miR-141-5p,,
hsa_circ_0000419,Ovarian endometriosis,Human,,miR-141-5p,,
circFGFR3,Non-small cell lung cancer,Human,miR-22-3p,,Gal-1,
hsa_circRNA_059914,Tuberculosis,Human,,"hsa-miR-377-5p, hsa-miR-6086, hsa-miR-4756-3p, hsa-miR-103b, hsa-miR-767-3p",,
hsa_circRNA_103017,Tuberculosis,Human,,"hsa-miR-1-3p, hsa-miR-449c-5p, hsa-miR-206, hsa-miR-34b-5p, hsa-miR-122-5p",,
hsa_circRNA_101128,Tuberculosis,Human,,"hsa-let-7c-5p, hsa- let-7b-5p, hsa-let-7a-5p, hsa- let-7f-5p, hsa-miR-502-5p",,
hsa_circRNA_062400,Tuberculosis,Human,,"hsa-miR-7843-5p, hsa-miR-4656, hsa-miR-6768-3p, hsa-miR-4436b-3p, hsa-miR-6511a-5p",,
circ_0008450,Hepatocellular carcinoma,Human,miR-548p,,,
circ_0034642,Glioma,Human,miR-1205,,BATF3,
circMTO1,Bladder cancer,Human,miR-221,,,
circ_0029426,Glioblastoma,Human,miR-197,,,
circ_0000502,Osteosarcoma,Human,miR-1238,,,
hsa_circ_0008717,Osteosarcoma,Human,miR-203,,,
hsa_circ_0099999,Pancreatic cancer,Human,miR-335-5p,,JMJD2C,
circADAMTS13,Hepatocellular carcinoma,Human,miR-484,,,
circAMOTL1L,Prostate cancer,Human,miR-193a-5p,,Pcdha,RBM25
hsa_circ_0001098,Breast cancer,Human,miR-3942,,BARD1,
hsa_circ_0006528,Breast cancer,Human,miR-7-5p,,Raf1,
hsa_circ_0055625,Colon cancer,Human,"miR-106b-5p, miR-106b",,,
hsa_circ_0076248,Glioma,Human,miR-181a,,SIRT1,
circ_0005230,Breast cancer,Human,miR-618,,CBX8,
hsa_circ_0001946,Osteosarcoma,Human,miR-7,,"EGFR, CCNE1, PI3KCD, RAF1",
hsa_circ_0017639,Gastric cancer,Human,miR-182-5p,,CREB1,
circ-ITCH,Triple negative breast cancer,Human,"miR-214, miR-17",,ITCH,
circPCNXL2,Clear cell renal cell carcinoma,Human,miR-153,,ZEB2,
circRNA-0067835,Temporal lobe epilepsy,Human,miR-155,,FOXO3a,
hsa_circ_0000615,Renal carcinoma,Human,miR-138-5p,,FOXP4,
hsa_circ_0006427,Lung adenocarcinoma,Human,miR-6783-3p,,DKK1,
hsa_circ_0001162,Glioblastoma,Human,miR-124,,"CDK4, AURKA",Eif4a3
hsa_circ_0006156,Bladder cancer,Human,miR-1178-3p,,G3BP2,
hsa_circ_0007294,Triple negative breast cancer,Human,"miR-148a-3p, miR-152-3p",,USF1,
hsa_circ_0091579,Hepatocellular carcinoma,Human,,"miR-96, miR-1271, miR-520c-3p, miR-219-5p",,
hsa_circ_0005397,Pancreatic cancer,Human,,"miR-26b, miR-125a, miR-330 and miR-382",,
CircRNA_102171,Papillary thyroid carcinoma,Human,,,,CTNNBIP1
hsa_circ_0001461,Gastric cancer,Human,miR-548g,,RUNX1,YBX1
hsa_circ_0087378,Breast cancer,Human,miR-1260b,,SFRP1,
circPDSS1,Gastric cancer,Human,miR-186-5p,,NEK2,
hsa_circ_0008717,Non-small cell lung cancer,Human,miR-1252,,FOXR2,
hsa_circ_0008602,Prostate cancer,Human,,"miR200c, miR-200b",,
hsa_circ_0039943,Prostate cancer,Human,,miR-143,,
circZFP57,Prostate cancer,Human,,miR-21,,
hsa_circ_0027599,Gastric cancer,Human,"miR-101, miR-101-3p.1",,PHLDA1,
hsa_circ_0000523,Colorectal cancer,Human,miR-31,,,
circ_0062019,Prostate cancer,Human,miR-5008,,,
circ_0057558,Prostate cancer,Human,miR-6884,,,
circ_0075538,Prostate cancer,Human,miR-6884,,,
hsa_circ_0001721,Osteosarcoma,Human,"miR-569, miR-599",,,
CircPAN3,Acute myeloid leukemia,Human,"miR-153-3p, miR-183-5p",,XIAP,
circ_0007534,Pancreatic ductal adenocarcinoma,Human,"miR-625, miR-892b",,,
hsa_circ_0136666,Colorectal cancer,Human,miR-136,,SH2B1,
hsa_circ_0005027,Hypopharyngeal carcinoma,Human,,hsa‑miR‑548c‑3p,,
hsa_circ_0008287,Hypopharyngeal carcinoma,Human,,hsa‑miR‑548c‑3p,,
circ_0067934,Cervical cancer,Human,miR-545,,EIF3C,
circ_0058063,Bladder cancer,Human,miR-145-5p,,CDK6,
circRNA_104075,Hepatocellular carcinoma,Human,miR-582-3p,,YAP,
hsa_circ_0007203,Esophageal squamous cell carcinoma,Human,,"miR-515, miR-942, miR-589, miR-136, miR-620, miR-630",,
hsa_circ_0008309,Oral squamous cell carcinoma,Human,"miR-136-5P, miR-382-5P",,ATXN1,
hsa_circ_0078710,Hepatocellular carcinoma,Human,miR-31,,"HDAC, CDK2",
hsa_circ_0061868,Glioma,Human,hsa-miR-7-5p,,NOVA2,
hsa_circ_0005320,Oral mucosal melanoma,Human,,"miR-4740-3p, miR-4505, miR-6786-5p, miR-6805-5p, miR-3180-3p, miR-4665-3p, miR-3196, miR-6798-5p, miR-4688, miR-939-5p, miR-762, miR-6824-5p, miR-4763-3p, miR-608, miR-4651, miR-1587, miR-6846-5p, miR-3620-5p, miR-5787, miR-6848-5p",,
hsa_circ_0067531,Oral mucosal melanoma,Human,,miR-328-5p,,
hsa_circ_0000869,Oral mucosal melanoma,Human,,"miR-1268a, miR-1268b, miR-566, miR-1273h-5p, miR-1273g-3p",,
17_50189167_50198002_-,Hypertrophic scar,Human,,miR-338-3p,"THBS1, COL1A1",
17_50189858_50195330_-,Hypertrophic scar,Human,,miR-338-3p,"THBS1, COL1A1",
17_50189167_50194626_-,Hypertrophic scar,Human,,miR-338-3p,"THBS1, COL1A1",
hsa_circ_0018665,Hepatocellular carcinoma,Human,miR-572,,RCAN1,
hsa_circ_0001846,Triple negative breast cancer,Human,miR-661,,MTA1,
circPRMT5,Bladder urothelial carcinoma,Human,miR-30c,,"SNAIL1, E-cadherin",
hsa_circ_0000677,Gastric cancer,Human,miR-145,,NR4A2,
hsa_circ_0100929,Hepatocellular carcinoma,Human,miR-375,,JAK2,
BCRC-3,Bladder cancer,Human,miR-182-5p,,p27,
hsa_circ_0044520,Laryngeal squamous cell carcinoma,Human,,hsa-miR-4726-5p,,
hsa_circ_0044529,Laryngeal squamous cell carcinoma,Human,,hsa-miR-4640-5p,,
hsa_circ_0061012,Psoriasis,Human,,"hsa-miR-7157-5p, hsa-miR-4769-3p, hsa-miR-6817-5p, hsa-miR-4310, hsa-miR-6882-3p ",,
hsa_circ_0023858,Idiopathic pulmonary fibrosis,Human,miR-324-5p,,,
hsa_circ_0044226,Idiopathic pulmonary fibrosis,Human,,hsa_miR-532-5p,,
hsa_circ_0007535,Idiopathic pulmonary fibrosis,Human,hsa_miR-630,,,
hsa_circ_0029633,Idiopathic pulmonary fibrosis,Human,,hsa_miR-326,,
hsa_circ_0001861,Idiopathic pulmonary fibrosis,Human,,hsa_miR-650,,
hsa_circ_0029853,Idiopathic pulmonary fibrosis,Human,,"hsa_miR-21-3p, hsa_miR-338-3p",,
circRNA-101368,Hepatocellular carcinoma,Human,miR-200a,,HMGB1,"HMGB1, RAGE, NF-κB (p65), E-Cadherin"
hsa_circ_0008305,Non-small cell lung cancer,Human,"miR-429, miR-200b-3p",,TIF1γ,
hsa_circ_0052112,Breast cancer,Human,miR-125a-5p,,,
circ0043898,Esophageal carcinoma,Human,,,,"Histone H3, BMI1"
hsa_circ_0072088,Colorectal cancer,Human,miR-532-3p,,FOXO4,
circ-ITCH,Ovarian carcinoma,Human,miR-145,,RASA1,
hsa_circ_0012919,Systemic lupus erythematosus,Human,miR-125a-3p,,"KLF13, RANTES","DNMT1, CD70, CD11a"
hsa_circ_0061140,Ovarian cancer,Human,miR-370,,FOXM1,
circBA9.3,Chronic myeloid leukemia,Human,,,,"c-ABL1, BCR-ABL1 "
hsa_circ_0009024,Tuberculosis,Human,,"miR-6844, miR-1248, miR-141-5p, miR-545-5p, miR-95-5p",,
hsa_circ_0001953,Tuberculosis,Human,,"miR-767-5p, miR-1298-3p, miR-132-3p, miR-885-5p, miR-196a-5p",,
circRNA-ACAP2,Colon cancer,Human,hsa-miR-21-5p,,Tiam1,
hsa_circ_0020123,Non-small cell lung cancer,Human,miR-144,,"ZEB1, EZH2",
hsa_circ_0001944,Breast carcinoma,Human,miR-509,,,
hsa_circ_0072391,Hepatoblastoma,Human,miR-503-5p,,"IGF2, IGF1R",
circRNA‑CER,Breast cancer,Human,miR-136,,MMP13,
circ_0074027,Glioblastoma,Human,miR-518a-5p,,IL17RD,
circ_0000735,Non-small cell lung cancer,Human,"miR-1179, miR-1182.",,,
circSMARCA5,Glioblastoma,Human,,,,"VEGFA, SRSF1"
hsa_circ_0087862,Non-small cell lung cancer,Human,"miR-593-3p, miR-653-5p",,"CCND2, TIAM1",
hsa_circ_0008460,Colorectal cancer,Human,miR-199b-5p,,"DDR1, JAG1",
hsa_circ_0033079,Glioma,Human,"miR-103a-3p, miR-382-5p",,ZIC4,MOV10
circPVT1,Non-small cell lung cancer,Human,miR-497,,Bcl-2,
hsa_circ_0000284,Glioma,Human,miR-124-3p,,STAT3,
hsa_circ_0001445,Cervical cancer,Human,miR-620,,,
circMTO1,Glioblastoma,Human,miR-630,,,
hsa_circ_0060060,Papillary thyroid carcinoma,Human,miR-144-3p,,TGF-α,
FECR1,Breast cancer,Human,,,,"TET1, DNMT1"
circPVT1,Non-small cell lung cancer,Human,miR-125b,,E2F2,
hsa_circ_0001946,Lung adenocarcinoma,Human,miR-135a-5p,,SIRT1,
circPUM1,Lung adenocarcinoma,Human,miR-326,,"Cyclin D1, Bcl-2",
circLARP4,Hepatocellular carcinoma,Human,miR-761,,RUNX3,
circFAT1,Osteosarcoma,Human,miR-375,,YAP1,
hsa_circ_0004015,Non-small cell lung cancer,Human,miR-1183,,PDPK1,
hsa_circ_0001313,Hirschsprung disease,Human,miR-488-3p,,DCX,
hsa_circ_100290,Acute myeloid leukemia,Human,miR-203,,Rab10,
hsa_circ_0074362,Glioma,Human,miR-1236-3p,,HOXB7,
hsa_circ_0023642,Bladder cancer,Human,miR-223,,FGFR2,
circHIPK3,Lung cancer,Human,miR-124,,"SphK1, STAT3, CDK4",
hsa_circ_0002320,Gastric cancer,Human,miR-367-5p,,p27 Kip1,
hsa_circ_0001380,Bladder cancer,Human,miR-1247-3p,,B4GALT3,
hsa_circ_0003998,Non-small cell lung cancer,Human,miR-326,,Notch1,
hsa_circ_0025039,Melanoma,Human,miR-198,,CDK4,
hsa_circ_0000993,Gastric cancer,Human,miR-214-5p,,,
hsa_circ_0004458,Papillary thyroid carcinoma,Human,miR-885-5p,,RAC1,
hsa_circ_0000284,Oral squamous cell carcinoma,Human,miR-124,,,
hsa_circ_0001368,Gastric cancer,Human,miR-6506-5p,,FOXO3,
circ_0003645,Non-small cell lung cancer,Human,miR-1179,,TMEM14A,
circ-ERBB2,Gastric cancer,Human,"miR-503, miR-637",,"CACUL1, MMP-19",
hsa_circ_0123778,Cancer,Human,,,,"DDX3, YY1"
hsa_circ_0025129,Hepatocellular carcinoma,Human,miR-34a,,USP7,
circSEMA4B,Intervertebral disc degeneration,Human,miR-431,,"SFRP1, GSK-3β",
CircRNA-0044073,Atherosclerosis,Human,miR‑107,,,
hsa_circ_0087960,Bladder cancer,Human,,miR-762,,
hsa_circ_0043278,Non-small cell lung cancer,Human,miR-520f,,"ROCK1, CDKN1B, AKT3",
hsa_circ_0033351,Hepatocellular carcinoma,Human,miR-140-5p,,SULT2B1,
hsa_circ_0101432,Hepatocellular carcinoma,Human,"miR-1258, miR-622",,MAPK1,
hsa_circ_0002577,Endometrial carcinoma,Human,miR-197,,CTNND1,
hsa_circ_0030018,Glioma,Human,miR-1205,,,
circ-0001785,Osteosarcoma,Human,miR-1200,,HOXB2,
hsa_circ_0001649,Hepatocellular carcinoma,Human,miR-127-5p/miR-612/miR-4688,,SHPRH,
F-circSR,Non-small cell lung cancer,Human,,"miR-150-5p, miR-194-3p and miR-515-5p",,
circ-104075,Glioma,Human,,,,BCL-9
hsa_circ_0045714,Osteoarthritis,Human,,"hsa-miR-4295, hsa-miR-130a-3p, hsa-miR-148b-3p, hsa-miR-152-3p, hsa-miR-454-3p, hsa-miR-27a-3p, hsa-miR-301b, hsa-miR-130b-3p, hsa-miR-148a-3p, and hsa-miR-27b-3p",,
hsa_circ_0005567,Osteoarthritis,Human,,miR378a and miR20a,,
hsa_circ_0002485,Osteoarthritis,Human,,miR340,,
hsa_circ_0009361,Colorectal cancer,Human,miR-582,,APC2,
circ_0007766,Lung adenocarcinoma,Human,,,,Cyclin D1/Cyclin E1/CDK4
hsa_circ_0126991,Essential hypertension,Human,miR-10a-5p,,,
circHIAT1,Hepatocellular carcinoma,Human,miR-3171,,PTEN,
hsa_circ_0008035,Gastric cancer,Human,miR-375,,YBX1,
hsa_circ_0006101,Osteosarcoma,Human,miR-19a,,PTEN,Ago2
hsa_circ_0020397,Intracranial aneurysm,Human,miR-138,,KDR,
hsa_circ_0075828,Bladder cancer,Human,miR-1224-5p,,CREB1,
circRNA_100876,Osteosarcoma,Human,miR-136,,,
hsa_circ_0103552,Breast cancer,Human,miR-1236,,,
hsa_circ_0054652,Intervertebral disc degeneration,Human,,"miR-7160-5p, miR-642b-3p, miR-642a-3p, miR-514a-3p, and miR-514b-3p",,
hsa_circ_0054657,Intervertebral disc degeneration,Human,,"miR-4527, miR-6503-5p, miR-6795-3p, miR-1249-5p, miR-210-3p",,
hsa_circ_0054659,Intervertebral disc degeneration,Human,,"miR-6797-5p, miR-656-5p, miR-1249-5p, miR-6515-5p, miR-8064",,
hsa_circ_0025367,Intervertebral disc degeneration,Human,,"miR-6850-3p, miR-516b-5p, miR-6870-3p, miR-3137, miR-1257",,
hsa_circ_0054660,Intervertebral disc degeneration,Human,,"miR-656-5p, miR-8064, miR-6893-3p, miR-370-3p, miR-3692-5p",,
hsa_circ_0008932,Intervertebral disc degeneration,Human,,"miR-765, miR-7160-5p, miR-6797-5p, miR-1249-5p, miR-4663",,
hsa_circ_0092222,Intervertebral disc degeneration,Human,,"miR-7110-3p, miR-4776-3p, miR-6873-3p, miR-5590-5p, miR-4659a-5p",,
hsa_circ_0092221,Intervertebral disc degeneration,Human,,"miR-4776-3p, miR-5590-5p, miR-4659a-5p, miR-4659b-5p, miR-2682-3p",,
hsa_circ_0088732,Intervertebral disc degeneration,Human,,"miR-1343-5p, miR-939-5p, miR-6825-5p, miR-3151-5p, miR-3175",,
hsa_circ_0069234,Intervertebral disc degeneration,Human,,"miR-7703, miR-6776-5p, miR-6861-5p, miR-1298-3p, miR-514a-5p",,
hsa_circ_0005198,Glioma,Human,miR-1294,,,
hsa_circ_0005379,Oral squamous cell carcinoma,Human,,"hsa-miR-145, hsa-miR-182",,
hsa_circ_0000284,Ovarian cancer,Human,,"miR-10a-5p, miR-224-3p, miR-876-5p, miR-148b-3p, miR-30d-3p, miR-193a-3p, miR-579-3p, miR-499a-5p, miR-106a-3p, miR-1278, miR-30b-3p and miR-522-3p",,
hsa_circ_32883,Colorectal cancer,Human,,"hsa-miR-130b-5p, hsa-miR-367-5p, hsa-miR-128-3p, hsa-miR-501-5p and hsa-miR-381-3p",,
hsa_circ_0046263,Non-small cell lung cancer,Human,miR-133a-5p,,,
hsa_circ_0000615,Nasopharyngeal carcinoma,Human,microRNA-150-5p,,Sp1,
hsa_circ_0003258,Hepatocellular carcinoma,Human,miR-203/miR-502-5p,,Snail,
hsa_circ_0068871,Bladder cancer,Human,miR-181a-5p,,FGFR3,STAT3 
hsa_circ_0059354,Laryngeal squamous cell carcinoma,Human,miR-302b-3p,,IGF-1R,
hsa_circ_0002142,Glioma,Human,miR-625-5p,,SOX2,
hsa_circ_0018069,Bladder cancer,Human,,"miR-23c, miR-34a-5p, miR-181b-5p, miR-454-3p, and miR-3666",,
hsa_circ_0006117,Non-small cell lung cancer,Human,miR-96-5p,,RASSF8,AGO2
circRNA-100338,Hepatocellular carcinoma,Human,miR-141-3p,,REHB,"EIF5, Mtorc1"
hsa_circ_0132876,Diabetic cataract,Human,,miR-204-5p,"MAP1LC3B, ATG7, MAPK1, RAB33B, NBR1",
hsa_circ_0006057,Diabetic cataract,Human,,miR-204-5p,"MAP1LC3B, ATG7, MAPK1, RAB33B, NBR1",
hsa_circ_0025202,Breast cancer,Human,miR-182-5p,,FOXO3a,
hsa_circ_0020123,Non-small cell lung cancer,Human,miR-488-3p,,ADAM9,
circTRIM33-12,Hepatocellular carcinoma,Human,miR-191,,TET1,
hsa_circ_0132266,Chronic lymphocytic leukemia,Human,hsa-miR-337-3p/miR-337-3p,,PML,
hsa_circ_0007874,Chronic hepatitis B,Human,miR-17-5p,,Smad7,Ago2
hsa_circ_0005519,Asthma,Human,has-let-7a-5p,,"IL-13, IL-6",
hsa_circ_0079593,Glioma,Human,"miR-182, miR-433",,,
hsa_circ_0020394,Bladder carcinoma,Human,hsa-miR-132-3p,,Sox5,
hsa_circ_0004771,Breast cancer,Human,miR-653,,ZEB2,
hsa_circ_0007874,Lung adenocarcinoma,Human,miR-17,,QKI-5,QKI
hsa_circ_0026134,Non-small cell lung cancer,Human,"miR-1287, miR-1287",,,
hsa_circ_0070934,Cutaneous squamous cell carcinoma,Human,"miR-1238, miR-1247-5p",,,
hsa_circ_0006156,Gastric cancer,Human,,,,"IGF2BP3, CD44"
hsa_circ_0025033,Non-small cell lung cancer,Human,miR-1304-5p,,"PPDPF, MACC1",
hsa_circ_0005230,Cholangiocarcinoma,Human,"miR-1238, miR-1299",,,
hsa_circ_0043278,Osteosarcoma,Human,miR-203a-3p,,CREB3,
circRNA_000543,Nasopharyngeal carcinoma,Human,miR-9,,PDGFRB,
hsa_circ_0000199,Gastric cancer,Human,miR-198,,PIK3R1,"γH2AX, BRCA1"
hsa_circ_0008365,Osteoarthritis,Human,miR-1271-5p,,ERG,
circ-LAMP1,T-cell lymphoblastic lymphoma,Human,miR-615-5p,,DDR2,
hsa_circ_0004339,Gastric cancer,Human,,,,"SOX4, SNF2L, BPTF, RBBP4"
TET1-has_circ_0093996,Retinoblastoma,Human,miR-183,,PDCD4,
hsa_circ_0097271,Bladder cancer,Human,miR-205-5p,,VEGFA,
CircRNA-012091,Silicosis,Human,,,,PPP1R13B
hsa_circ_0072387,Oral squamous cell carcinoma,Human,,"hsa-miR-129-3p, hsa-miR-141-3p, and hsa-miR-29-3p",,
hsa_circ_0001946,Pancreatic ductal adenocarcinoma,Human,miR-7,,"EGFR, STAT3",
hsa_circ_0021254,Cervical cancer,Human,miR‑218,,HOXA1,
hsa_circ_0083444,Conjunctival melanoma,Human,"hsa-miR-622, hsa-mir-1208",,,
hsa_circ_0003594,Alzheimer's disease,Human,miR-138,,Sirt1,
hsa_circ_0043632,Non-small cell lung cancer,Human,,"hsa-miR-6861-3p, hsa-miR-492, hsa-miR-4743-5p, hsa-miR-6829-3p, and hsa-miR-6778-3p",,
hsa_circ_0048856,Non-small cell lung cancer,Human,,"hsa-miR-4279, hsa-miR-221-5p, hsa-miR-8073, hsa-miR-1256, hsa-miR-4691-5p",,
hsa_circ_0043634,Non-small cell lung cancer,Human,,"hsa-miR-4483, hsa-miR-1293, hsa-miR-6861-3p, hsa-miR-4530, hsa-miR-492",,
hsa_circ_0050581,Non-small cell lung cancer,Human,,"hsa-miR-6722-5p, hsa-miR-4641, hsa-miR-4707-3p, hsa-miR-4258, hsa-miR-652-3p",,
hsa_circ_0023302,Non-small cell lung cancer,Human,,"hsa-miR-765, hsa-miR-6804-3p, hsa-miR-8085, hsa-miR-6731-5p, hsa-miR-6878-5p",,
hsa_circ_0000337,Esophageal squamous cell carcinoma,Human,miR-670-5p,,"GJB7, PCTP, STX6, FAM174B, PPP2CA, TOR2A, YOD1, ZSWIM6, UBR7, PROX1, SEMA4B, DHX33, PPP1R37, PLXDC1, ANAPC16, ZNF385A, SP1, SH3BP5L, MKNK2, SEMA4C, EHD1",
hsa_circ_0088196,Preeclampsia,Human,miR-100-5p,,"LINC01492, LIF",
hsa_circ_0142527,Colorectal cancer,Human,,,KLF4,
hsa_circ_0047905,Gastric cancer,Human,"miR4516, miR1227-5p",,"SERPINB5, MMP11",
hsa_circ_0001946,Bladder cancer,Human,miR-1270,,APAF1,
circMAN2B2,Glioma,Human,miR-1205,,S100A8,
circ-100219,Breast cancer,Human,microRNA-485-3p,,NTRK3,
hsa_circ_0023028,Laryngeal cancer,Human,miR-194-5p,,,
hsa_circ_0006401,Gastric cancer,Human,miR-3064–5p,,COL6A3,
circHIPK3,Prostate cancer,Human,miRNA-338-3p,,ADAM17,
hsa_circ_0109952,Glioma,Human,miR-4493,,,
hsa_circ_0008035,Gastric cancer,Human,miR-375,,YBX1,
hsa_circ_0001073,Bladder cancer,Human,miR-626,,EYA4,
circ-PRKCI,Hepatocellular carcinoma,Human,miRNA-545,,E2E7,
hsa_circ_0002623,Non-small cell lung cancer,Human,miR-195,,Bcl-2,
hsa_circ_0074027,Glioma,Human,miR-518a-5p,,IL17RD,
hsa_circ_0067934,Neuronal cell injury,Human,"miR-545, miR-589",,E2F7,
circMAN1A2,Nasopharyngeal carcinoma,Human,,hsa-miR-135a-3p.,"SLC4A8, IKZF4, SMAGP, SP1, ERBB3, CBX5",
circMAN1A2,Oral cancer,Human,,hsa-miR-135a-3p.,"SLC4A8, IKZF4, SMAGP, SP1, ERBB3, CBX5",
circMAN1A2,Thyroid cancer,Human,,hsa-miR-135a-3p.,"SLC4A8, IKZF4, SMAGP, SP1, ERBB3, CBX5",
