circRNA,disease
circEXOC6B,Ovarian cancer
circFGFR3,Non-small cell lung cancer
hsa_circ_0003928,Diabetic nephropathy
hsa_circ_0000479,Triple negative breast cancer
hsa_circ_0003288,Hepatocellular carcinoma
CircMMP11,Breast cancer
hsa_circ_0003732,Osteosarcoma
hsa_circ_0005114,Glioma
hsa_circ_100338,Hepatocellular carcinoma
circ_0007534,Breast cancer
hsa_circ_0100929,Hepatocellular carcinoma
circBIRC6,Non-small cell lung cancer
circTNPO3,Ovarian cancer
circ-PKD2,Oral squamous cell carcinoma
circ_0008928,Non-small cell lung cancer
hsa_circ_0012673,Lung adenocarcinoma
circKLHL24,Breast cancer
hsa_circ_0004812,Chronic hepatitis B
hsa_circ_0067531,Oral mucosal melanoma
hsa_circ_0077232,Glioblastoma
hsa_circ_0011385,Non-small cell lung cancer
circ_0084043,Melanoma
hsa_circ_0049116,Epithelial ovarian cancer
hsa_circ_0014235,Lung cancer
circEHBP1,Bladder cancer
Circ-DNMT1,Breast cancer
hsa_circ_0000260,Gastric cancer
circ_0003420,Sepsis-induced liver damage
hsa_circ_0043949,Glioblastoma
hsa_circ_0087960,Bladder cancer
Circular RNA 100146,Colorectal cancer
circ_0000337,Esophageal squamous cell carcinoma
hsa_circ_0000654,Esophageal squamous cell carcinoma
circ_0001649,Non-small cell lung cancer
hsa_circ_0005986,Hepatocellular carcinoma
hsa_circ_0002485,Osteoarthritis
hsa_circ_0048856,Non-small cell lung cancer
hsa_circ_0079593,Glioma
hsa_circ_0001955,Colorectal cancer
hsa_circ_0072758,Laryngeal squamous cell carcinoma
hsa_circ_0001725,Gastric cancer
CircNOL10,Breast cancer
hsa_circ_0002623,Bladder cancer
hsa_circ_0001588,Lung adenocarcinoma
Circ_0119872,Uveal melanoma
hsa_circ_0000282,Osteosarcoma
circ_0006948,Esophageal squamous cell carcinoma
circ-FOXP1,Hepatocellular carcinoma
CDR1as,Osteoarthritis
circRNA_0005075,Gastric cancer
circ_0005576,Cervical cancer
hsa_circ_0029426,Glioblastoma
circ-PRKCI,Hepatocellular carcinoma
hsa_circ_0011946,Breast cancer
circ_0029426,Glioblastoma
hsa_circ_101555,Hepatocellular carcinoma
hsa_circ_0018534,Non-small cell lung cancer
hsa_circ_0000376,Gastric cancer
hsa_circ_0000267,Hepatocellular carcinoma
circ_0021093,Hepatocellular carcinoma
hsa_circ_400031,Primary hepatic carcinoma
hsa_circ_0001824,Breast cancer
hsa_circ_103809,Lung cancer
hsa_circ_0001546,Bladder urothelial carcinoma
circ_0075538,Prostate cancer
hsa_circ_0000650,Chronic hepatitis B
Circ_0003998,Hepatocellular carcinoma
circFLNA,Lung cancer
Circ_0046599,Hepatocellular carcinoma
circSETDB1,Lung adenocarcinoma
circRNA_7386,Atrial fibrillation
circ_LDLR,Papillary thyroid carcinoma
hsa_circ_0067997,Gastric cancer
circ_0062019,Prostate cancer
hsa_circ_0000263,Cervical cancer
circPKNOX1,Intervertebral disc disease
circRNA_001287,Renal cell carcinoma
circRNA-0067835,Temporal lobe epilepsy
circ-ZNF652,Renal carcinoma
hsa_circ_0040809,Intracranial aneurysm
hsa_circ_0000144,Bladder cancer
hsa_circ_0004370,Esophageal cancer
circ-CDC45,Glioma
circCORO1C,Laryngeal squamous cell carcinoma
circRNA_104433,Gastric cancer
hsa_circ_0068871,Bladder cancer
hsa_circ_0010220,Osteosarcoma
hsa_circ_0076631,Diabetic cardiomyopathy
Circ_0004872,Atherosclerosis
circCLK3,Cervical cancer
hsa_circ_0081001,Osteosarcoma
hsa_circ_0001564,Osteosarcoma
hsa_circ_0046701,Glioma
circRNA-0001283,Breast cancer
"circ-102,166",Hepatocellular carcinoma
circ_SMAD4,Gastric cancer
hsa_circ_0007623,Myocardial ischemia
hsa_circ_0046264,Lung cancer
circMAN1A2,Nasopharyngeal carcinoma
hsa_circ_0000670,Gastric cancer
hsa_circ_0051443,Hepatocellular carcinoma
circPCNXL2,Clear cell renal cell carcinoma
circsSMARCA5,Non-small cell lung cancer
CircPAN3,Acute myeloid leukemia
hsa_circ_0137008,Colorectal cancer
hsa_circ_0005198,Glioma
hsa_circ_0006401,Gastric cancer
circRNA-0072309,Liver cancer
hsa_circ_0033351,Hepatocellular carcinoma
hsa_circ_0004872,Gastric cancer
circPRKCI,Lung adenocarcinoma
circRASGRF2,Hepatocellular carcinoma
circ_DROSHA,Temporal lobe epilepsy
hsa_circ_0021087,Gastric cancer
circRNA-101368,Hepatocellular carcinoma
circARPP21,Hepatocellular carcinoma
hsa_circ_0075341,Cervical cancer
circ_0014717,Colorectal cancer
circ_0000043,Ovarian cancer
hsa_circ_0002137,Osteosarcoma
Circ_0055625,Colon cancer
circHIPK2,Neuroinflammatory disorders
hsa_circ_0061052,Chronic obstructive pulmonary disease
circ_0020394,Bladder carcinoma
hsa_circ_0002320,Gastric cancer
circ-104075,Glioma
circ-EIF4G3,Gastric cancer
hsa_circ_0001742,Glioma
hsa_circ_0001495,Cellular senescence
hsa_circ_0005100,Colorectal cancer
hsa_circ_0082824,Coronary artery disease
hsa_circ_0136959,Cervical cancer
hsa_circ_0014717,Colorectal cancer
circ-CCDC66 ,Cervical cancer
circRNA_100876,Osteosarcoma
circ-ABCB10,Non-small cell lung cancer
hsa_circ_0092306,Gastric cancer
circ_0005927,Colorectal cancer
circ-0060428,Osteosarcoma
hsa_circ_0004798,Gastric cancer
hsa_circ_0001206,Prostate cancer
circ-ASH2L,Pancreatic ductal adenocarcinoma
hsa_circ_0075001,Acute myeloid leukemia
hsa_circ_0007364,Cervical cancer
circTTBK2,Glioma
hsa_circ_0000598,Colorectal cancer
hsa_circ_0089172,Hashimoto's thyroiditis
circ-IARS,Pancreatic ductal adenocarcinoma
hsa_circ_0004662,Hepatocellular carcinoma
hsa_circ_0106800,Breast cancer
circGSK3B,Hepatocellular carcinoma
hsa_circ_0004680,Colorectal cancer
hsa_circ_0000328,Renal cell carcinoma
circSPATA6,Oral squamous cell carcinoma
hsa_circ_0005875,Clear cell renal cell carcinoma
hsa_circ_0000993,Gastric cancer
hsa_circ_0037128,Diabetic nephropathy
circFANCL,Glioma
hsa_circ_0024093,Acute kidney injury
hsa_circ_0005379,Oral squamous cell carcinoma
hsa_circ_0049613,Hepatocellular carcinoma
circ_ITCH,Hepatocellular carcinoma
Circ_0105346,Osteosarcoma
hsa_circ_0006220,Breast cancer
Circ_0000527,Retinoblastoma
circHLA-C,Lupus nephritis
circular RNA Ttc3,Kidney injury
hsa_circ_0040060,Intervertebral disk degeneration
hsa_circ_0005397,Pancreatic cancer
hsa_circ_0004018,Hepatocellular carcinoma
CDKN2B-AS1,Ulcerative colitis
circCSNK1G1,Colorectal cancer
hsa_circ_0066755,Nasopharyngeal carcinoma
hsa_circ_0008225,Glioma
Circ_0009910,Hepatocellular carcinoma
circAMOTL1,Prostate cancer
hsa_circ_0051172,Coronary artery disease
circ-Rtn4,Osteoporosis
circPPM1F,Type 1 diabetes mellitus
Circ0083429,Osteoarthritis
hsa_circ_0058107,Hypopharyngeal squamous cell carcinoma
CircASH2L,Ovarian cancer
circDLGAP4,Ischemic stroke
hsa_circ_0072309,Breast cancer
circ-0103552,Thyroid carcinoma
hsa_circ_0006835,Gastric cancer
circRACGAP1,Gastric cancer
hsa_circ_0038467,Pneumonia
circ_0020123,Non-small cell lung cancer
circBMPR2,Breast cancer
hsa_circ_0083444,Conjunctival melanoma
circCER,Breast cancer
circAkap7,Ischemic stroke
hsa_circ_0093996,Retinoblastoma
circ-100219,Breast cancer
hsa_circ_0009065,Pancreatic ductal adenocarcinoma
circ-0000745,Acute lymphoblastic leukemia
circRNA PPP1CC,Atherosclerosis
hsa_circ_0008737,Atrial fibrillation
hsa_circ_0089105,Breast cancer
hsa_circ_0000326,Lung adenocarcinoma
hsa_circ_0047688,Glioma
hsa_circ_0005105,Osteoarthritis
hsa_circ_0067934,Hepatocellular carcinoma
circ-CFH,Glioma
F-circSR,Non-small cell lung cancer
hsa_circ_0023064,Colon cancer
circFAT1,Osteosarcoma
hsa_circ_0034398,Systemic lupus erythematosus
Circ-E2F3,Retinoblastoma
circATRNL1,Oral squamous cell carcinoma
circWHSC1,Endometrial cancer
Circ-AASDH,Lung adenocarcinoma
circ‑ABCB10,Epithelial ovarian cancer
CircNRIP1,Ovarian cancer
Circ_0001247,Cervical cancer
hsa_circ_0026134,Non-small cell lung cancer
hsa_circ_0025129,Hepatocellular carcinoma
hsa_circ_0053277,Colorectal cancer
circNSUN2,Colorectal cancer
circ-PVT1,Gastric cancer
Circ_0116061,Osteoarthritis
circ_ARF3,Osteosarcoma
circPTPN22,Gastric cancer
hsa_circ_0008287,Hypopharyngeal carcinoma
hsa_circ_0004712,Rheumatoid arthritis
circDNMT3B,Diabetic retinopathy
circ_0072083,Non-small cell lung cancer
SCD-circRNA 2,Hepatocellular carcinoma
hsa_circ_0032463,Osteosarcoma
hsa_circ_0067103,Papillary thyroid carcinoma
circRNA_1837,Atrial fibrillation
hsa_circ_0005795,Basal cell carcinoma
BCRC-3,Bladder cancer
hsa_circ_0000615,Hirschsprung disease
hsa_circ_0025033,Papillary thyroid carcinoma
hsa_circ_0000677,Colorectal cancer
hsa_circ_0001766,Oral squamous cell carcinoma
hsa_circ_0091702,Intervertebral disc degeneration
hsa_circ_0000554,Esophageal cancer
circ-EPB41L5,Glioblastoma
hsa_circ_0060467,Cervical cancer
hsa_circ_0015326,Ovarian cancer
hsa_circ_0092303,Gastric cancer
hsa_circ_0000673,Hepatocellular carcinoma
hsa_circ_0099999,Pancreatic cancer
hsa_circ_0030018,Glioma
hsa_circ_0007299 ,Endometriosis
CircCDH13,Osteoarthritis
circ_LPAR3,Esophageal squamous cell carcinoma
circRAB11FIP1,Ovarian cancer
hsa_circ_006100,Gastric cancer
hsa_circ_0008003,Non-small cell lung cancer
Hsa_circ_0010235,Non-small cell lung cancer
circ_0008450,Hepatocellular carcinoma
circHIPK3,Nasopharyngeal carcinoma
hsa_circ_0043632,Non-small cell lung cancer
hsa_circ_001587,Pancreatic cancer
circ_0067934,Hepatocellular carcinoma
circ_0004507,Laryngeal cancer
Circ_0067934,Laryngeal squamous cell cancer
hsa_circ_0067835,Colorectal cancer
hsa_circ_0013339,Oral squamous cell carcinoma
hsa_circ_0000039,Gastric cancer
CircCAMSAP1,Hepatocellular carcinoma
hsa_circ_0011460,Preeclampsia
circ_0007841,Multiple myeloma
hsa_circ_0084927,Small cell lung cancer
circ-PRKCA,Non-small cell lung cancer
hsa_circ_0003575,Atherosclerosis
hsa_circ_0002483,Non-small cell lung cancer
hsa_circ_0070269,Hepatocellular carcinoma
hsa_circ_0002360,Lung adenocarcinoma
circGSE1,Cervical cancer
hsa_circ_0008259,Keloid
hsa_circ_0001721,Osteosarcoma
circ_0005273,Colorectal cancer
circ_0004136,Acute myeloid leukemia
circRHOT1,Breast cancer
hsa_circ_0001785,Breast cancer
hsa_circ_0001610,Endometrial carcinoma
circEPSTI1,Ovarian cancer
circVAPA,Hepatocellular carcinoma
FECR1,Breast cancer
circ-0033550,Cervical cancer
hsa_circ_0058514,Triple negative breast cancer
hsa_circ_0109291,Oral squamous cell carcinoma
TET1-has_circ_0093996,Retinoblastoma
hsa_circ_000334,Esophageal cancer
hsa_circ_0046600,Hepatocellular carcinoma
hsa_circ_0000515,Cervical cancer
hsa_circ_0008234,Gallbladder cancer
hsa_circ_0008305,Non-small cell lung cancer
has_circ_0000034 ,Retinoblastoma
Circ_0091579,Hepatocellular carcinoma
circ-TFCP2L1,Triple negative breast cancer
hsa_circ_0072391,Hepatoblastoma
hsa_circ_0078607,Ovarian cancer
Hsa_circ_0046263,Non-small cell lung cancer
circ_PTN,Glioma
hsa_circ_0056288,Osteosarcoma
hsa_circ_0018665,Hepatocellular carcinoma
circNFATC3,Hepatocellular carcinoma
circTUBD1,Radiation-induced liver disease
circCTDP1,Nasopharyngeal carcinoma
circ-CDYL,Multiple myeloma
hsa_circ_0001627,Papillary thyroid carcinoma
circ_0085289,Periodontitis
hsa_circ_0000337,Esophageal squamous cell carcinoma
hsa_circ_0001522,Lung adenocarcinoma
circZNF609,Glioma
circRAD23B,Esophageal cancer
hsa_circ_0002768,Bladder cancer
hsa_circ_0011292,Non-small cell lung cancer
hsa_circ_0000190,Multiple myeloma
hsa_circ_0054652,Intervertebral disc degeneration
circ_0002770,Melanoma
circRNA_7571,Atrial fibrillation
hsa_circ_0003204,Atherosclerosis
hsa_circ_0005394,Hepatocellular carcinoma
circPITX1,Glioma
CircZFR,Breast cancer
CircPRMT5,Papillary thyroid carcinoma
Circ-03955,Osteosarcoma
circ_0000218,Colorectal cancer
circE2F2,Ovarian cancer
CircASPH,Polycystic ovary syndrome
hsa_circ_0035266,Inflammation
circADAMTS13,Hepatocellular carcinoma
hsa_circ_0004846,Papillary thyroid carcinoma
hsa_circ_0002453,Triple negative breast cancer
hsa_circ_0001105,Osteosarcoma
circPARD3,Laryngeal squamous cell carcinoma
Circ_0006528,Breast cancer
hsa_circ_0072995,Breast cancer
hsa_circ_0037911,Essential hypertension
hsa_circ_0003645,Hepatocellular carcinoma
circRNA_0000094,T cell acute lymphoblastic leukemia
circSMAD2,Prostate cancer
hsa_circ_0030605,Bronchopulmonary dysplasia
hsa_circ_0032148,Uveal melanoma
hsa_circ_0003340,Esophageal cancer
circNELL2,Esophageal squamous cell carcinoma
CircEPB41L2,Hepatocellular carcinoma
hsa_circ_0000448,Temporomandibular joint osteoarthritis
hsa_circ_0089378,Coronary artery disease
Circ-UBR5,Non-small cell lung cancer
circDNM3OS,Cholangiocarcinoma
hsa_circ_0006859,Postmenopausal osteoporosis
circABCC4,Lung adenocarcinoma
hsa_circ_0000006,Osteosarcoma
hsa_circ_0001801,Glioma
circ-UBE2D2,Breast cancer
circCSPP1,Colorectal cancer
hsa_circ_0032821,Gastric cancer
circFoxp1,Epithelial ovarian cancer
hsa_circ_0000234,Gastric cancer
circ-0001801,Glioblastoma
hsa_circ_0001204,Tuberculosis
hsa_circ_0000005,Glioma
hsa_circ_0039569,Renal cell carcinoma
hsa_circ_0001859,Rheumatoid arthritis
CircATP5SL,Haemangiomas
hsa_circ_0046599,Systemic lupus erythematosus
hsa_circ_0030998,Lung cancer
hsa_circ_0020732,Lung adenocarcinoma
hsa_circ_0004339,Gastric cancer
hsa_circ_0058124,Papillary thyroid carcinoma
circ_0018289,Cervical cancer
hsa_circ_0028173,Osteosarcoma
circ_LRIG3,Hepatocellular carcinoma
hsa_circ_102347,Primary hepatic carcinoma
circRPPH1,Breast cancer
hsa_circ_0008433,Intracranial aneurysm
hsa_circ_0046263,Non-small cell lung cancer
hsa_circ_0051470,Intervertebral disc degeneration
circPRMT5,Bladder urothelial carcinoma
circPDE4D ,Osteoarthritis
hsa_circ_0110102,Hepatocellular carcinoma
hsa_circ_0034642,Glioma
hsa_circ_0133460,Uveal melanoma
circRNA-100338,Hepatocellular carcinoma
hsa_circ_0002142,Glioma
Cznf532,Diabetic retinopathy
hsa_circ_0015962,Dengue fever
hsa_circ_0057481,Laryngeal cancer
circ_0008274,Cholangiocarcinoma
circ-NCOR2,Papillary thyroid carcinoma
circ-FOXM1,Melanoma
hsa_circ_0048677,Hepatocellular carcinoma
hsa_circ_0000594,Glioma
circ-001971,Colorectal cancer
hsa_circ_0005962,Lung adenocarcinoma
circRNA-000284,Cervical cancer
Circular RNA 0001313,Non-small cell lung cancer
circ_101341,Clear cell renal cell carcinoma
circ0043898,Esophageal carcinoma
Circ_0001806,Non-small cell lung cancer
circITGA7,Thyroid cancer
hsa_circ_0076690,Osteoporosis
circNINL,Breast cancer
cir-ITCH,Lung cancer
hsa_circ_0085131,Non-small cell lung cancer
circSCARB1,Renal cell carcinoma
circ_EPB41L2,Lung adenocarcinoma
hsa_circ_0098619,Glioma
hsa_circ_0131242,Triple negative breast cancer
hsa_circ_0021553,Papillary thyroid carcinoma
hsa_circ_0008365,Osteoarthritis
hsa_circ_0000372,Colorectal cancer
hsa_circ_0054659,Intervertebral disc degeneration
hsa_circ_0061825,Breast cancer
hsa_circ_0067301,Ovarian endometriosis
CircDUSP16,Esophageal squamous cell carcinoma
CircSAMD4A,Osteosarcoma
hsa_circ_0045602,Gastric cancer
hsa_circ_0062019,Prostate cancer
hsa_circ_0001361,Bladder cancer
hsa_circ_0006804,Influenza A virus infection
circ-FAM53B,Ovarian cancer
hsa_circ_0044529,Laryngeal squamous cell carcinoma
hsa_circ_0005360,Abdominal aortic aneurysm
circCPA4,Glioma
hsa_circ_0084171,Bladder cancer
Circ-OSBPL2,Chronic obstructive pulmonary disease
circFNDC3B,Renal carcinoma
hsa_circ_0066659,Hepatocellular carcinoma
circNT5E,Non-small cell lung cancer
circOSBPL10,Cervical cancer
hsa_circ_0036877,Preeclampsia
hsa_circ_0030569,Tuberculosis
hsa_circ_0056285,Intracranial aneurysm
circ_0001742,Glioma
circ_0000527,Retinoblastoma
circFGD4,Gastric cancer
hsa_circ_0001001,Hepatocellular carcinoma
hsa_circ_0025039,Melanoma
CircTADA2A ,Colorectal cancer
hsa_circ_0007874,Hepatocellular carcinoma
circEYA1,Cervical adenocarcinoma
hsa_circ_0022812,Lung cancer
17_50189167_50198002_-,Hypertrophic scar
hsa_circ_0000142,Multiple myeloma
circ_0000285,Osteosarcoma
hsa_circ_0006872,Chronic obstructive pulmonary disease
circRNA-0006896,Atherosclerosis
hsa_circ_0092516,Osteoarthritis
circ_0006892,Chronic obstructive pulmonary disease
hsa_circ_0023919,Bladder cancer
circRNA_10156,Liver cancer
hsa_circ_0001861,Idiopathic pulmonary fibrosis
circSOBP,Prostate cancer
circRGPD6,Breast cancer
CircSPI1,Acute myeloid leukemia
hsa_circ_0058147,Gastric cancer
hsa_circ_0020007,Hepatocellular carcinoma
hsa_circ_0003141,Hepatocellular carcinoma
circRNA_101996 ,Cervical cancer
hsa_circ_0078710,Hepatocellular carcinoma
hsa_circ_0077179,Systemic lupus erythematosus
circGLIS3,Lung cancer
hsa_circ_0020394,Bladder carcinoma
hsa_circ_0071820,Bladder cancer
circ_0074027,Glioblastoma
circABCB10,Hepatocellular carcinoma
hsa_circ_0025202,Breast cancer
hsa_circ_0008309,Oral squamous cell carcinoma
Circ-EEF2,Epithelial ovarian cancer
hsa_circ_0044516,Prostate cancer
hsa_circ_100290,Acute myeloid leukemia
circHECTD1,Silicosis
circRACGAP1 ,Non-small cell lung cancer
hsa_circ_0083357,Coronary artery disease
circ-0000284,Cholangiocarcinoma
hsa_circ_0092012,Laryngeal squamous cell carcinoma
circRNA_0000140,Oral squamous cell carcinoma
hsa_circ_0004015,Non-small cell lung cancer
hsa_circ_0001387,Ovarian cancer
hsa_circ_0003119,Breast cancer
circC3P1,Hepatocellular carcinoma
hsa_circ_0038646,Colorectal cancer
hsa_circ_0009910,Osteosarcoma
hsa_circ_0109046,Endometrial cancer
hsa_circ_0041795,Diabetic retinopathy
hsa_circ_0132266,Chronic lymphocytic leukemia
Hsa_circ_0086996,Osteosarcoma
Circ_0020123,Non-small cell lung cancer
hsa_circ_0008460,Colorectal cancer
hsa_circ_0031288,Cervical carcinoma
hsa_circ_0082846,Glioma
hsa_circ_0058357,Non-small cell lung cancer
hsa_circ_0005519,Asthma
hsa_circ_0006404,Prostate cancer
hsa_circ_0008285,Breast cancer
hsa_circ_0006935,Repeated implantation failure
hsa_circ_0000567,Hepatocellular carcinoma
circ_0061395,Hepatocellular carcinoma
circ_ASAP2,Gastric cancer
circ-ZKSCAN1,Bladder cancer
circTRIM33-12,Hepatocellular carcinoma
CircMAP3K5,Neointimal hyperplasia
hsa_circ_0007158,Intervertebral disc degeneration
hsa_circ_0017311,Osteosarcoma
hsa_circ_0000098,Hepatocellular carcinoma
hsa_circ_0007841,Multiple myeloma
hsa_circ_0082002,Hepatocellular carcinoma
circ_0008305,Non-small cell lung cancer
hsa_circ_0000096,Clear cell renal cell carcinoma
circ-Ccnb1,Breast carcinoma
hsa_circ_0132980,Cervical cancer
circYY1,Breast cancer
circAF4,Leukemia
circ-FOXO3,Bladder cancer
hsa_circ_0006948,Esophageal squamous cell carcinoma
hsa_circ_0076979,Prostate cancer
CircCHST15,Lung cancer
hsa_circ_0062389,Non-small cell lung cancer
hsa_circ_0008035,Gastric cancer
hsa_circ_0009035,Cervical cancer
circ-SLC7A6,Non-small cell lung cancer
Circ0120816,Esophageal squamous cell carcinoma
Circ_0006174,Colorectal cancer
circMAN2B2,Lung cancer
hsa_circ_0000488,Acute myeloid leukemia
circ_0000629,Bladder cancer
hsa_circ_103973,Cervical cancer
hsa_circ_0049027,Gastric cancer
hsa_circ_0101145,Hepatocellular carcinoma
hsa_circ_0009172,Gastric cancer
Circ-DENND4C,Hepatocellular carcinoma
circ_0003645,Non-small cell lung cancer
hsa_circ_0086720,Non-small cell lung cancer
circ-ELF2,Glioma
circ_CELSR1,Ovarian cancer
hsa_circ_0000043,Ovarian cancer
Circ_0000140,Oral squamous cell carcinoma
hsa_circ_0139996,Gastric cancer
hsa_circ_0109952,Glioma
hsa_circ_0105015,Essential hypertension
hsa_circ_0003506,Gastric cancer
circ-KIAA0907,Oral squamous cell carcinoma
hsa_circ_0005785,Hepatocellular carcinoma
hsa_circ_0006988,Pancreatic cancer
circ_0000388,Cervical cancer
circ0005276,Prostate cancer
circ_PIP5K1A,Non-small cell lung cancer
hsa_circ_0002130,Non-small cell lung cancer
circ-NOTCH1,Gastric cancer
circRNA-104718,Hepatocellular carcinoma
hsa_circ_0010090,Hepatocellular carcinoma
has_circ_0001492,Colorectal cancer
circAtp9b,Pneumonia
circ_0102049,Osteosarcoma
hsa_circ_0001829,Gastric cancer
hsa_circ_0001724,Colorectal cancer
circRNA-chr19,Ebola virus disease
circCEP128,Bladder cancer
hsa_circ_0001666,Papillary thyroid carcinoma
hsa_circ_0101432,Hepatocellular carcinoma
hsa_circ_0000092,Hepatocellular carcinoma
circGLCE,Intervertebral disc degeneration
CircGDI2,Oral squamous cell carcinoma
hsa_circ_0001022,Renal cell carcinoma
hsa_circ_0074362,Glioma
hsa_circ_0001599,Endometriosis
Circ-CCS,Lung cancer
hsa_circ_0039053,Hepatocellular carcinoma
Circ-SMARCA5,Colorectal cancer
17_50189858_50195330_-,Hypertrophic scar
hsa_circ_0000714,Ovarian cancer
hsa_circ_0016760,Non-small cell lung cancer
hsa_circ_0092222,Intervertebral disc degeneration
hsa_circ_0023858,Idiopathic pulmonary fibrosis
hsa_circ_0001846,Triple negative breast cancer
hsa_circ_0008450,Hepatocellular carcinoma
circ-ASPH,Glioma
hsa_circ_0001417,Tuberculosis
circRAPGEF5,Papillary thyroid carcinoma
hsa_circ_0001568,Intervertebral disc degeneration
hsa_circ_0000291,Gastric cancer
hsa_circ_009755,Oral squamous cell carcinoma
circPSD3,Hepatocellular carcinoma
circTBL1XR1,Colorectal cancer
hsa_circ_0080210,Intervertebral disc degeneration
Circ0004390,Ovarian cancer
circFADS2,Non-small cell lung cancer
circARNT2,Hepatocellular carcinoma
circSMARCA5,Glioblastoma
circ_0081143,Gastric cancer
circMARK3,Acute Stanford type A aortic dissection
circ_UBXN7,Liver cancer
hsa_circ_0000907,Breast cancer
hsa_circ_0005963,Colorectal cancer
circLPAR3,Esophageal squamous cell carcinoma
hsa_circ_0000384,Gastric cancer
hsa_circ_0123190,Lupus nephritis
circMAGI3,Non-small cell lung cancer
circACAP2,Breast cancer
hsa_circ_0063809,Ovarian cancer
hsa_circ_0006459,Dengue fever
hsa_circ_0068515,Lung squamous cell carcinoma
hsa_circ_0001095,Ovarian cancer
circRBPMS,Bladder cancer
circCTNNA1,Colorectal cancer
circIRAK3,Breast cancer
circ_0030235,Pancreatic ductal adenocarcinoma
hsa_circ_0008932,Intervertebral disc degeneration
circ-IQGAP1,Osteoarthritis
hsa_circ_0005224,Nasopharyngeal carcinoma
hsa_circ_0002980,Hepatocellular carcinoma
hsa_circ_0001461,Gastric cancer
hsa_circ_0061012,Psoriasis
circSOX4,Hepatocellular carcinoma
Circ_HIPK3,Spinal cord injury
hsa_circ_0140388,Colorectal cancer
circAKT3,Lung cancer
Circ-PRMT5,Non-small cell lung cancer
circ_100395,Liver cancer
hsa_circ_0016624,Osteoporosis
circRNA_0084043,Melanoma
hsa_circ_0023984,Infantile hemangioma
Circ_0010729,Hypoxia-induced cardiomyocyte injuries 
circ-BANP,Lung cancer
hsa_circ_0096157,Lung cancer
hsa_circ_0000370,Acute myeloid leukemia
hsa_circ_0091017,Bladder cancer
circ_0020710,Melanoma
circ-PGAP3,Cervical cancer
hsa_circ_0092315,Papillary thyroid carcinoma
circGLIS2,Colorectal cancer
hsa_circ_0044226,Idiopathic pulmonary fibrosis
circ_0014130,Non-small cell lung cancer
circDOCK1,Thyroid cancer
hsa_circ_0043278,Non-small cell lung cancer
hsa_circ_0084922,Hepatocellular carcinoma
hsa_circ_0000896,Non-small cell lung cancer
circ-HECTD1,Ischemic stroke
hsa_circ_0055625,Colon cancer
circSDHC,Renal cell carcinoma
hsa_circ_0006260,Bladder cancer
circ-ITCH,Papillary thyroid carcinoma
hsa_circ_0111277,Preeclampsia
circ_0004712,Rheumatoid arthritis
hsa_circ_0000936,Glioma
CircITCH,Doxorubicin-Induced cardiotoxicity 
hsa_circ_0008016,Papillary thyroid carcinoma
circARID1A,Autism spectrum disorder
circATP5B,Glioma
circSETD3,Lung cancer
circRNA_081881,Myocardial infarction
hsa_circ_0039943,Prostate cancer
hsa_circ_0008928,Non-small cell lung cancer
hsa_circ_0127621,Diffuse large B-cell lymphoma
circ_PUM1,Endometrial cancer
circSEC24A,Cutaneous squamous cell carcinoma
hsa_circ_0050581,Non-small cell lung cancer
CircCFL1,Diffuse large B-cell lymphoma
circ-USP36,Atherosclerosis
hsa_circ_0002052,Osteosarcoma
circ-DCUN1D4,Lung adenocarcinoma
hsa_circ_0128332,Lung adenocarcinoma
hsa_circ_0051240,Ovarian cancer
hsa_circ_0071036,Pancreatic cancer
CircMTO1,Osteosarcoma
hsa_circ_0004840,Osteosarcoma
circRNA_100284,Carcinogenesis
hsa_circ_0004050,Non-small cell lung cancer
hsa_circ_0000218,Laryngeal squamous cell carcinoma
hsa_circ_0069767,Multiple myeloma
hsa_circ_0007334,Colorectal cancer
circ_0089153,Ameloblastoma
circLARP4,Gastric cancer
hsa_circ_0000073,Osteosarcoma
hsa_circ_0059655,Salivary adenoid cystic carcinoma
CircPSMC3,Gastric cancer
circ_0084927,Small cell lung cancer
hsa_circ_0005758,Gastric cancer
hsa_circ_0023826,Glaucoma
hsa_circ_001436,Melanoma
hsa_circ_0076906,Osteoporosis
hsa_circ_0001445,Hepatocellular carcinoma
circ-MAT2B,Gastric cancer
circ_0005774,Acute myeloid leukemia
hsa_circ_0137606,Bladder cancer
circ_0063517,Preeclampsia
circ_0115744,Colorectal cancer
circular RNA_0004674,Oral squamous cell carcinoma
circ_0000034,Retinoblastoma
hsa_circ_0025367,Intervertebral disc degeneration
hsa_circ_0082374,Glioma
circRBM23,Hepatocellular carcinoma
hsa_circ_0000516,Papillary thyroid carcinoma
circBC048201 ,Bladder cancer
hsa_circ_0000517,Hepatocellular carcinoma
hsa_circ_0066444,Gastric cancer
Circ_0031242,Hepatoma
hsa_circ_0031242,Hepatocellular carcinoma
hsa_circ_0001714,Cholangiocarcinoma
